Fund,Rating,Category,Return 1-Year,Return 3-Year,Return 5-Year,Return 10-Year,Return 15-Year,Return 20-Year
L&T India Value Fund,4,EQ-MC     ,30.26,23.78,27.68,,,
L&T India Value Fund - Direct Plan,5,EQ-MC     ,31.38,24.79,,,,
L&T Infrastructure Fund,5,EQ-INFRA  ,51.92,32.15,30.23,17.44,,
L&T Infrastructure Fund - Direct Plan,5,EQ-INFRA  ,53.32,33.25,,,,
L&T Liquid Fund,3,DT-LIQ    ,6.64,7.14,7.71,8.03,,
L&T Liquid Fund - Direct Plan,4,DT-LIQ    ,6.7,7.21,,,,
L&T Midcap Fund,4,EQ-MC     ,41.32,29.42,32.3,24.02,,
L&T Midcap Fund - Direct Plan,4,EQ-MC     ,42.59,30.49,,,,
L&T Monthly Income Plan,1,HY-DC     ,6.38,7.5,8.44,7.92,,
L&T Monthly Income Plan - Direct Plan,2,HY-DC     ,7.17,8.26,,,,
L&T Resurgent India Corporate Bond Fund - Direct Plan,4,DT-INC    ,6.04,,,,,
L&T Resurgent India Corporate Bond Fund - Regular Plan,3,DT-INC    ,5.09,,,,,
L&T Short Term Income Fund,4,DT-CO     ,7.11,8.78,9.04,,,
L&T Short Term Income Fund - Direct Plan,4,DT-CO     ,7.54,9.16,,,,
L&T Short Term Opportunities Fund,2,DT-ST     ,5.16,7.03,7.81,,,
L&T Short Term Opportunities Fund - Direct Plan,3,DT-ST     ,5.69,7.57,,,,
L&T Tax Advantage Fund,4,EQ-TS     ,32.87,22.52,21.92,17.88,,
L&T Tax Advantage Fund - Direct Plan,4,EQ-TS     ,33.96,23.4,,,,
L&T Triple Ace Bond Fund,1,DT-INC    ,2.67,5.49,6.6,6.86,5.74,5.98
L&T Triple Ace Bond Fund - Direct Plan,1,DT-INC    ,3.1,6.37,,,,
L&T Ultra Short Term Fund,3,DT-UST    ,6.42,7.46,8,8.3,,
L&T Ultra Short Term Fund - Direct Plan,4,DT-UST    ,6.79,7.84,,,,
LIC MF Balanced Fund,1,HY-EQ     ,18.82,10.83,11.05,9.65,10.17,
LIC MF Balanced Fund - Direct Plan,1,HY-EQ     ,20.31,11.93,,,,
LIC MF Bond Fund,2,DT-INC    ,1.96,6.01,7.15,7.56,7.46,
LIC MF Bond Fund - Direct Plan,2,DT-INC    ,2.47,6.52,,,,
LIC MF Children's Gift Fund,2,HY-EQ     ,9.24,9.11,11,8.51,5.02,
LIC MF Children's Gift Fund - Direct Plan,2,HY-EQ     ,10.15,10.2,,,,
LIC MF Equity Fund,1,EQ-MLC    ,26.22,12.49,12.8,10.82,11.1,
LIC MF Equity Fund - Direct Plan,1,EQ-MLC    ,27.55,13.38,,,,
LIC MF Government Securities Fund,2,GL-MLT    ,-0.39,5.6,7.17,6.72,6.18,
LIC MF Government Securities Fund - Direct Plan,3,GL-MLT    ,0.5,6.64,,,,
LIC MF Growth Fund,3,EQ-LC     ,19.48,12.1,13.9,12.2,12.46,12.69
LIC MF Growth Fund - Direct Plan,3,EQ-LC     ,20.99,13.27,,,,
LIC MF G-Sec Long Term Exchange Traded Fund,2,GL-MLT    ,0.42,,,,,
LIC MF Income Plus Fund,2,DT-UST    ,5.74,6.75,6.94,7.26,,
LIC MF Income Plus Fund - Direct Plan,3,DT-UST    ,6.47,7.48,,,,
LIC MF Index-Nifty Plan,1,EQ-LC     ,21.68,13.36,12.76,11.08,11.11,
LIC MF Index-Nifty Plan - Direct Plan,2,EQ-LC     ,22.33,13.92,,,,
LIC MF Index-Sensex Plan,1,EQ-LC     ,21.87,12.51,11.76,10.6,11.25,
LIC MF Index-Sensex Plan - Direct Plan,1,EQ-LC     ,22.53,13.1,,,,
LIC MF Infrastructure Fund,1,EQ-INFRA  ,36.5,17.7,16.52,,,
LIC MF Infrastructure Fund - Direct Plan,2,EQ-INFRA  ,38.24,19.06,,,,
LIC MF Liquid Fund,2,DT-LIQ    ,6.55,7.08,7.66,7.95,7.76,
LIC MF Liquid Fund - Direct Plan,4,DT-LIQ    ,6.7,7.23,,,,
LIC MF Monthly Income Plan,2,HY-DC     ,6.76,7.21,7.68,7.28,7.57,
LIC MF Monthly Income Plan - Direct Plan,2,HY-DC     ,7.68,8.15,,,,
LIC MF Savings Plus Fund,3,DT-UST    ,6.31,7.22,7.62,7.7,,
LIC MF Savings Plus Fund - Direct Plan,4,DT-UST    ,7.01,8.05,,,,
LIC MF Tax Plan,2,EQ-TS     ,31.93,17.19,18.09,13.96,12.49,
LIC MF Tax Plan - Direct Plan,2,EQ-TS     ,33.64,18.32,,,,
LIC MF Unit Linked Insurance,1,HY-EQ     ,22.94,12.32,12.31,9.87,9.73,
LIC MF Unit Linked Insurance - Direct Plan,2,HY-EQ     ,24.54,13.48,,,,
Mirae Asset Cash Management Fund,2,DT-LIQ    ,6.61,6.89,7.34,,,
Mirae Asset Cash Management Fund - Direct Plan,2,DT-LIQ    ,6.7,7.05,,,,
Mirae Asset Emerging Bluechip Fund - Direct Plan,5,EQ-MC     ,39.47,30.11,,,,
Mirae Asset Emerging Bluechip Fund - Regular Plan,5,EQ-MC     ,38.38,29.1,33.36,,,
Mirae Asset India Opportunities Fund - Direct Plan,5,EQ-LC     ,31.9,22.19,,,,
Mirae Asset India Opportunities Fund - Regular Plan,5,EQ-LC     ,30.97,21.31,22.41,,,
Mirae Asset Savings Fund - Direct Plan,2,DT-UST    ,6.13,7.07,,,,
Mirae Asset Savings Fund - Regular Savings Plan,1,DT-UST    ,5.34,6.24,6.7,,,
Motilal Oswal MOSt Focused 25 Fund - Direct Plan,5,EQ-LC     ,24.83,18.09,,,,
Motilal Oswal MOSt Focused 25 Fund - Regular Plan,5,EQ-LC     ,23.07,16.52,,,,
Motilal Oswal MOSt Focused Midcap 30 Fund - Direct Plan,4,EQ-MC     ,27.96,18.87,,,,
Motilal Oswal MOSt Focused Midcap 30 Fund - Regular Plan,3,EQ-MC     ,26.23,17.37,,,,
Motilal Oswal MOSt Focused Multicap 35 Fund - Direct Plan,5,EQ-MLC    ,32.7,25.27,,,,
Motilal Oswal MOSt Focused Multicap 35 Fund - Regular Plan,5,EQ-MLC    ,31.44,24.18,,,,
Motilal Oswal MOSt Shares M100 ETF Fund,2,EQ-MC     ,37.31,24.28,24.66,,,
Motilal Oswal MOSt Shares M50 ETF Fund,1,EQ-LC     ,21.2,13.43,12.83,,,
Motilal Oswal MOSt Ultra Short Term Bond Fund - Direct Plan,1,DT-UST    ,5.94,6.41,,,,
Motilal Oswal MOSt Ultra Short Term Bond Fund - Regular Plan,1,DT-UST    ,5.45,5.92,,,,
Parag Parikh Long Term Value Fund - Direct Plan,4,EQ-MLC    ,28.57,18.31,,,,
Parag Parikh Long Term Value Fund - Regular Plan,4,EQ-MLC    ,27.84,17.66,,,,
Principal Balanced Fund,4,HY-EQ     ,31.51,21.76,20.03,15.54,14.91,
Principal Balanced Fund - Direct Plan,4,HY-EQ     ,33.47,23.1,,,,
Principal Cash Management Fund,4,DT-LIQ    ,6.67,7.19,7.75,8.05,,
Principal Cash Management Fund - Direct Plan,5,DT-LIQ    ,6.74,7.27,,,,
Principal Credit Opportunities Fund,4,DT-CO     ,6.83,7.89,8.32,8.2,,
Principal Credit Opportunities Fund - Direct Plan,5,DT-CO     ,7.03,8.12,,,,
Principal Debt Savings Fund,2,DT-INC    ,1.42,5.99,6.94,7.14,,
Principal Debt Savings Fund - Direct Plan,3,DT-INC    ,2.67,7.01,,,,
Principal Dividend Yield Fund,2,EQ-MLC    ,42.82,24.84,21.26,15.96,,
Principal Dividend Yield Fund - Direct Plan,2,EQ-MLC    ,43.08,25.21,,,,
Principal Dynamic Bond Fund,3,DT-DB     ,2.56,6.93,8.04,8.24,,
Principal Dynamic Bond Fund - Direct Plan,4,DT-DB     ,3.36,7.74,,,,
Principal Emerging Bluechip Fund,4,EQ-MC     ,40.24,27.25,30.16,,,
Principal Emerging Bluechip Fund - Direct Plan,5,EQ-MC     ,41.85,28.53,,,,
Principal Growth Fund,4,EQ-MLC    ,41.02,25.8,24.36,18.09,16.32,
Principal Growth Fund - Direct Plan,4,EQ-MLC    ,42.1,26.67,,,,
Principal Index Fund - Nifty,2,EQ-LC     ,21.96,13.83,13.19,11.46,12.5,
Principal Index Fund - Nifty - Direct Plan,2,EQ-LC     ,22.58,14.38,,,,
Principal Large Cap Fund,3,EQ-LC     ,25.2,16.27,16.83,14.82,,
Principal Large Cap Fund - Direct Plan,3,EQ-LC     ,26.01,17.02,,,,
Principal Low Duration Fund,3,DT-UST    ,6.82,7.77,8.06,8.23,,
Principal Low Duration Fund - Direct Plan,4,DT-UST    ,7.25,8.31,,,,
Principal Money Manager Fund,3,DT-UST    ,5.88,7.06,7.82,,,
Principal Money Manager Fund - Direct Plan,4,DT-UST    ,6.77,7.54,,,,
Principal Personal Tax Saver Fund,1,EQ-TS     ,28.89,17.11,17.32,13.9,14.94,
Principal Personal Tax Saver Fund - Direct Plan,2,EQ-TS     ,29.64,17.82,,,,
Principal Short Term Income Fund,2,DT-ST     ,4.91,7.24,7.92,8.33,,
Principal Short Term Income Fund - Direct Plan,3,DT-ST     ,5.82,8.12,,,,
Principal Smart Equity Fund,2,HY-AA     ,9.85,8.38,11.05,,,
Principal Smart Equity Fund - Direct Plan,3,HY-AA     ,11.4,9.69,,,,
Principal Tax Savings Fund,3,EQ-TS     ,41.12,25.73,24.32,18.07,17.4,19.14
Principal Tax Savings Fund - Direct Plan,4,EQ-TS     ,41.49,26.17,,,,
Quantum Dynamic Bond Fund - Direct Plan,5,DT-DB     ,3.94,,,,,
Quantum Dynamic Bond Fund - Regular Plan #,5,DT-DB     ,,,,,,
Quantum Equity FoF - Regular Plan #,3,EQ-MLC    ,,,,,,
Quantum Equity FoF Fund - Direct Plan,3,EQ-MLC    ,30.43,19.66,20.83,,,
Quantum Liquid - Regular Plan #,2,DT-LIQ    ,,,,,,
Quantum Liquid Fund - Direct Plan,2,DT-LIQ    ,5.96,6.46,7.11,7.59,,
Quantum Long Term Equity - Regular Plan #,4,EQ-LC     ,,,,,,
Quantum Long Term Equity Fund - Direct Plan,4,EQ-LC     ,17.36,16.14,17.03,16.65,,
Quantum Tax Saving - Regular Plan #,2,EQ-TS     ,,,,,,
Quantum Tax Saving Fund - Direct Plan,2,EQ-TS     ,17.92,16.4,17.17,,,
